date,jour_culture,temperature_air_c,temperature_sol_c,humidite_air_pourcent,humidite_sol_pourcent,ph_sol,lumiere_heures_jour,pluie_mm_24h,arrosage_litres_jour,stade_croissance,hauteur_plant_cm,nb_fleurs,nb_fruits,couleur_feuilles,etat_general,recommandation
2025-07-05,126,17.7,16.0,66.6,78.0,6.64,12.3,0.3,0.92,recolte,177.8,5,33,tachete,bon,recolte_bientot
2025-05-07,67,21.5,20.1,48.5,54.6,5.6,9.3,0.4,2.89,floraison,78.8,27,1,vert,stress_leger,bon
2025-06-22,113,23.0,19.8,64.7,66.0,5.87,10.2,0.0,2.6,fructification,104.9,3,15,vert,bon,bon
2025-07-06,127,12.1,11.2,48.9,63.6,7.54,8.2,1.5,2.98,recolte,170.4,7,31,tachete,stress_moyen,sol_pas_adapte
2025-05-25,85,22.4,20.3,72.9,64.1,6.63,8.0,1.3,1.65,fructification,82.7,7,13,vert,bon,bon
2025-03-21,20,19.4,17.3,51.4,60.4,6.47,13.3,2.0,1.81,jeune_plant,17.6,0,0,vert,bon,bon
2025-05-22,82,32.6,28.8,84.2,65.7,6.58,10.0,0.0,0.51,fructification,124.8,2,10,tachete,stress_leger,risque_chaleur
2025-05-09,69,33.7,32.0,94.4,56.4,6.98,12.2,0.0,1.25,floraison,81.5,6,0,fonce,stress_leger,risque_chaleur
2025-04-27,57,21.4,18.8,55.8,62.8,6.73,11.0,3.6,0.76,croissance,47.0,1,0,vert,bon,bon
2025-06-11,102,24.4,19.6,81.5,88.2,6.14,10.7,0.8,1.7,fructification,90.2,11,15,jaune,stress_leger,trop_eau
2025-04-04,34,26.4,23.4,62.7,70.5,6.36,11.3,0.8,2.1,croissance,78.8,4,0,vert,bon,bon
2025-03-26,25,8.0,10.0,92.0,78.6,6.6,9.0,0.0,2.28,jeune_plant,22.0,0,0,tachete,stress_leger,risque_froid
2025-03-05,4,24.0,21.2,64.6,33.5,6.15,9.2,0.2,4.25,semis,3.9,0,0,jaune,stress_leger,arroser
2025-03-19,18,26.8,23.2,52.1,76.9,6.36,8.4,0.0,2.61,jeune_plant,13.3,0,0,vert,bon,bon
2025-07-20,141,12.6,10.0,67.8,66.9,6.87,10.2,3.4,0.85,recolte,120.3,2,22,vert,stress_leger,recolte_bientot
2025-03-25,24,16.7,16.3,68.0,55.7,6.28,10.3,9.4,1.75,jeune_plant,15.4,0,0,vert,bon,bon
2025-06-14,105,28.2,25.7,59.1,67.2,6.31,14.2,0.7,2.19,fructification,122.5,3,11,vert,bon,bon
2025-03-19,18,22.7,20.2,95.0,45.1,7.0,11.0,2.4,0.75,jeune_plant,19.7,0,0,vert,bon,bon
2025-03-03,2,20.9,15.0,76.7,23.9,6.46,10.0,9.9,3.56,semis,6.1,0,0,fonce,stress_leger,arroser
2025-06-13,104,18.2,16.4,42.1,39.7,6.37,7.4,1.3,4.22,fructification,95.6,10,14,jaune,stress_leger,arroser
2025-07-14,135,23.8,22.9,83.9,62.7,5.72,11.6,0.0,0.88,recolte,172.0,4,18,tachete,stress_leger,recolte_bientot
2025-05-19,79,22.9,20.2,67.3,60.4,6.59,6.8,3.1,1.9,floraison,106.6,21,2,vert,bon,bon
2025-03-27,26,19.7,19.0,78.6,60.9,6.72,7.9,8.8,1.34,jeune_plant,20.3,0,0,vert,bon,bon
2025-03-27,26,17.8,19.0,40.9,62.8,7.51,10.0,0.0,1.19,jeune_plant,21.7,0,0,jaune,stress_leger,sol_pas_adapte
2025-07-20,141,33.4,29.1,64.1,76.8,6.65,11.4,0.0,2.99,recolte,142.2,6,37,jaune,stress_leger,recolte_bientot
2025-03-17,16,21.9,23.3,73.2,58.3,5.75,10.2,7.6,0.94,jeune_plant,11.6,0,0,vert,stress_leger,bon
2025-06-17,108,24.1,22.2,55.4,67.3,7.4,9.6,0.0,2.1,fructification,126.7,12,22,vert,stress_leger,bon
2025-05-26,86,27.7,26.2,56.8,79.0,7.18,10.5,0.0,2.52,fructification,92.5,8,10,vert,bon,bon
2025-06-30,121,26.4,24.1,64.9,69.2,5.05,14.0,0.3,0.58,recolte,104.6,6,36,tachete,stress_leger,sol_pas_adapte
2025-06-25,116,28.2,23.3,81.9,55.9,6.74,11.3,0.0,2.89,fructification,90.4,9,15,vert,bon,bon
2025-07-18,139,12.3,12.9,78.9,52.9,6.39,7.8,5.6,1.5,recolte,161.0,6,19,fonce,stress_leger,recolte_bientot
2025-06-25,116,18.7,15.5,76.2,35.6,6.55,9.4,1.0,4.64,fructification,112.2,9,10,fonce,stress_leger,arroser
2025-03-25,24,27.3,24.6,30.0,78.7,6.42,11.3,2.3,1.98,jeune_plant,9.0,0,0,vert,bon,bon
2025-07-14,135,27.0,24.7,81.6,46.4,5.96,13.6,2.8,2.74,recolte,165.4,7,36,vert,bon,recolte_bientot
2025-07-05,126,15.1,12.4,68.8,83.5,6.32,7.9,4.2,0.55,recolte,121.5,5,18,tachete,stress_leger,trop_eau
2025-03-18,17,14.1,13.2,79.6,72.1,6.52,8.1,1.4,2.83,jeune_plant,22.1,0,0,tachete,stress_leger,risque_froid
2025-07-02,123,20.6,19.0,61.9,59.0,6.82,7.8,0.0,0.8,recolte,161.2,7,24,vert,bon,recolte_bientot
2025-05-05,65,21.1,16.1,30.0,62.2,6.3,10.6,2.9,2.61,floraison,65.9,28,2,vert,bon,bon
2025-05-23,83,13.1,10.1,49.4,59.3,6.59,10.5,2.9,1.29,fructification,137.1,10,7,fonce,stress_leger,risque_froid
2025-06-28,119,28.1,26.5,59.5,62.2,5.61,10.8,1.3,2.05,fructification,103.4,10,16,vert,stress_leger,bon
2025-04-03,33,19.3,14.8,48.3,78.5,6.42,8.9,3.1,2.18,croissance,59.8,2,0,vert,bon,bon
2025-07-27,148,17.2,13.7,70.2,59.3,6.52,8.5,0.0,2.93,recolte,109.1,5,18,jaune,bon,recolte_bientot
2025-05-11,71,17.9,14.9,38.8,58.1,6.97,7.4,2.8,0.69,floraison,64.5,10,2,vert,bon,bon
2025-07-26,147,29.5,29.4,82.8,75.2,5.71,11.9,0.0,1.99,recolte,169.3,0,28,vert,stress_leger,recolte_bientot
2025-03-11,10,15.5,14.3,74.0,79.5,6.25,9.7,1.5,2.84,semis,5.3,0,0,vert,bon,bon
2025-05-13,73,20.1,18.7,52.0,57.9,6.66,10.4,0.9,1.59,floraison,103.4,23,0,vert,bon,bon
2025-04-09,39,23.5,21.1,53.2,49.6,6.04,8.3,0.0,1.65,croissance,65.3,1,0,vert,bon,bon
